apr,bug,tot_cluster,tot_patch,t_naive,t_uniapr,t_expapr
PlausibleRecoder,Chart-1,62,2062,35334.92216253281,2849.360041167535,588.5096203398838
PlausibleRecoder,Chart-11,52,1098,11550.960092306137,1026.6521403209006,312.5255116153428
PlausibleRecoder,Chart-20,43,1219,15017.124875545502,1069.624076987442,317.29856115467726
PlausibleRecoder,Chart-24,40,693,7027.660800933838,589.0644321544158,233.2939833180068
PlausibleRecoder,Chart-26,74,2049,21073.73243880272,None,1231.377278816225
PlausibleRecoder,Chart-3,60,1123,11830.046584367752,2052.221447588209,483.3748838550438
PlausibleRecoder,Chart-8,61,1484,19215.318415164948,2771.178962396483,416.499887829102
PlausibleRecoder,Chart-9,63,1654,20891.002460241318,None,437.7200073417381
PlausibleRecoder,Closure-104,68,7230,253717.42353224754,None,641.3634622694937
PlausibleRecoder,Closure-109,70,2067,136257.74120783806,None,1470.3017663521805
PlausibleRecoder,Closure-115,62,3205,212331.35875415802,None,2136.21072172976
PlausibleRecoder,Closure-118,65,4151,416877.1851923466,None,1527.210862819584
PlausibleRecoder,Closure-14,74,5372,326168.07423114777,None,3343.755492651633
PlausibleRecoder,Closure-2,61,2350,173548.35069441795,None,4045.506208154389
PlausibleRecoder,Closure-21,73,3559,123399.81302881241,None,5117.99714869597
PlausibleRecoder,Closure-33,73,3145,215107.6773686409,None,2920.9056718817196
PlausibleRecoder,Closure-46,68,2705,208421.04842567444,None,1461.3959445274932
PlausibleRecoder,Closure-57,71,2877,143911.76266264915,None,1613.0958631451774
PlausibleRecoder,Closure-62,61,1158,58564.4639108181,None,1981.3652002674353
PlausibleRecoder,Closure-7,65,3204,272772.62458229065,None,1733.037865504007
PlausibleRecoder,Closure-73,67,2400,95865.21557712555,None,1053.2901159528644
PlausibleRecoder,Closure-86,70,2690,111694.1969192028,None,1154.8722169205405
PlausibleRecoder,Closure-92,65,3835,154825.88310956955,None,870.4931044161495
PlausibleRecoder,Lang-26,62,1448,12135.748658657074,1641.9213171259692,422.76782976214054
PlausibleRecoder,Lang-29,3,198,452.06022810935974,146.45809088897704,11.381545066833496
PlausibleRecoder,Lang-33,17,554,3016.0926094055176,585.1044309224079,120.02198613734255
PlausibleRecoder,Lang-38,61,1614,11642.215184926987,1802.075959193142,453.9801613296694
PlausibleRecoder,Lang-51,70,1269,7547.096879959106,1045.7047738194526,336.1016963652936
PlausibleRecoder,Lang-55,41,1577,12856.071672677994,1343.574818972732,336.9027183088096
PlausibleRecoder,Lang-57,4,68,443.0736653804779,108.57495774490377,44.58280458754767
PlausibleRecoder,Lang-59,55,1711,13851.773221254349,1827.8828373686217,348.5113672224665
PlausibleRecoder,Lang-6,42,777,12699.11850810051,1219.1811275476082,396.2108599735336
PlausibleRecoder,Math-27,23,701,38199.526937007904,1847.1274284632134,415.12936151601497
PlausibleRecoder,Math-30,66,1330,70771.09986186028,4410.39742695891,368.70930764640275
PlausibleRecoder,Math-33,65,1847,68792.97652173042,4175.26587300321,523.0013657109308
PlausibleRecoder,Math-34,48,869,31019.60913991928,890.1478891460854,298.29541318113
PlausibleRecoder,Math-41,77,1772,44118.46303367615,7686.326188529995,787.1323538609146
PlausibleRecoder,Math-5,62,2496,266902.2908952236,2635.5968648206676,1245.6024254439874
PlausibleRecoder,Math-50,58,1191,79959.07648849487,2323.6953337189257,789.9612255313318
PlausibleRecoder,Math-57,40,740,32658.28745007515,1432.0059166084461,713.3423586916251
PlausibleRecoder,Math-65,74,1575,16892.286204338074,1332.6814843663133,399.78870427827746
PlausibleRecoder,Math-70,52,1089,15381.403479337692,836.7762615017128,300.146385978193
PlausibleRecoder,Math-75,68,1404,15097.598488330841,1453.2174195614168,354.9793213797474
PlausibleRecoder,Math-94,63,1430,126966.02749300003,10257.071320815727,1971.0557836113421
PlausibleRecoder,Math-96,62,1363,12458.400874137878,1208.7966053186422,286.3569754258717
PlausibleRecoder,Math-98,64,1436,10673.943259239197,1390.3371120413065,384.2506493380263
PlausibleRecoder,Mockito-29,65,1505,27483.664627313614,None,983.3600955131318
PlausibleRecoder,Mockito-38,33,598,8417.79114985466,None,373.35885120159287
PlausibleRecoder,Time-4,66,2243,46468.84817695618,1906.0446912539621,509.5747064787391
PlausibleRecoder,Time-7,68,2695,48105.11199450493,2112.3370640776916,450.62589661823375
PlausibleTBar,Chart-1,41,2746,32648.377576589584,3659.115713109971,502.99354570526253
PlausibleTBar,Chart-11,23,221,4190.500851631165,278.49702609062194,181.00053364165385
PlausibleTBar,Chart-14,129,10607,88081.92709612846,12630.395941606157,1784.002005441422
PlausibleTBar,Chart-19,130,10135,108851.35450005531,12034.180167101715,2373.214241410549
PlausibleTBar,Chart-20,324,10606,155318.8662457466,8614.400569836152,1743.8313893318011
PlausibleTBar,Chart-24,3,123,767.84934258461,82.87110423300237,17.616560617661168
PlausibleTBar,Chart-4,158,10070,112115.31185293198,None,2857.1033628225223
PlausibleTBar,Chart-8,207,4493,57251.244275808334,8224.244387169327,1378.5186902109065
PlausibleTBar,Chart-9,5,132,1573.1476607322693,None,54.7741138251709
PlausibleTBar,Closure-2,202,10395,764146.3332064152,None,20088.51278980562
PlausibleTBar,Closure-21,5,346,41495.6146030426,None,99.35038882139764
PlausibleTBar,Closure-38,51,3451,256713.0225675106,None,959.4206372638761
PlausibleTBar,Closure-46,2,9,596.1773788928986,None,83.4106256256175
PlausibleTBar,Closure-62,40,479,26230.67692542076,None,1164.7314529877528
PlausibleTBar,Closure-73,9,232,9761.525937318802,None,235.76754692628452
PlausibleTBar,Closure-86,321,10826,549961.2681319714,None,11307.62677125554
PlausibleTBar,Lang-10,353,7454,144886.72222042084,9749.09750661888,2148.590613449593
PlausibleTBar,Lang-33,573,9565,94564.5121793747,12510.990209319194,3623.9375801099486
PlausibleTBar,Lang-47,12,669,6106.585632562637,734.1646377716065,132.90019935729634
PlausibleTBar,Lang-57,2,55,532.9776322841644,103.79737663650513,26.38941698421094
PlausibleTBar,Lang-59,2,101,695.8480668067932,125.04695059261681,6.249241688350452
PlausibleTBar,Math-11,10,231,15335.908881425858,2445.868887807328,219.79693772687978
PlausibleTBar,Math-22,2,2,102.87705826759338,5.669944465637201,3.269030636400043
PlausibleTBar,Math-30,12,162,5936.145410299301,191.7836325379382,119.52839645612607
PlausibleTBar,Math-34,2,13,337.5177402496338,142.6765532093048,63.06631269158045
