filename,category,n_patch,n_stof,n_ftos
PlausibleRecoder/patches-out/Math/98/prepend-BigMatrixImpl.java-139--7d152505d03de482.json,succ,19,0,0
PlausibleRecoder/patches-out/Math/75/prepend-Frequency.java-218--5d380b3518808b6e.json,succ,10,0,0
PlausibleRecoder/patches-out/Lang/6/modify-CharSequenceTranslator.java-111-29d19e532a4a05a8.json,succ,22,0,0
PlausibleRecoder/patches-out/Chart/26/prepend-Plot.java-1385--8d80b22ae2c7e83.json,succ,28,0,0
PlausibleRecoder/patches-out/Math/50/prepend-FastMath.java-3925--21d4f5db8a4e52b8.json,succ,3,0,0
PlausibleRecoder/patches-out/Chart/8/prepend-Week.java-198--7eb5f940a4dd5f90.json,succ,23,0,0
PlausibleRecoder/patches-out/Math/75/prepend-Frequency.java-386--5d380b3518808b6e.json,succ,11,0,0
PlausibleRecoder/patches-out/Chart/8/prepend-Week.java-390--7eb5f940a4dd5f90.json,succ,31,0,0
PlausibleRecoder/patches-out/Math/75/prepend-Frequency.java-220--5d380b3518808b6e.json,succ,41,0,0
PlausibleRecoder/patches-out/Time/7/modify-DateTimeParserBucket.java-518--595c1e84887c251.json,succ,20,0,0
PlausibleRecoder/patches-out/Closure/92/modify-Node.java-1031-69ac42bc60d7b2b6.json,succ,19,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-PrototypeObjectType.java-383-14aec30f9ac2ab88.json,succ,10,0,0
PlausibleRecoder/patches-out/Closure/115/modify-RenameLabels.java-157--1a169863a721e99c.json,succ,26,0,0
PlausibleRecoder/patches-out/Time/7/prepend-DateTimeParserBucket.java-421--595c1e84887c251.json,succ,35,0,0
PlausibleRecoder/patches-out/Math/65/prepend-AbstractLeastSquaresOptimizer.java-319-7ce34e040a950dc8.json,succ,11,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-1423-543fba37af5538b2.json,succ,28,0,0
PlausibleRecoder/patches-out/Math/33/modify-Pair.java-63-4f89ec71f7fbfef0.json,succ,16,0,0
PlausibleRecoder/patches-out/Closure/109/prepend-ParserRunner.java-54--1a5f465f5a7299cb.json,succ,1,0,0
PlausibleRecoder/patches-out/Mockito/29/modify-MissingInvocationChecker.java-37-556fe6136a676aaf.json,succ,44,0,0
PlausibleRecoder/patches-out/Closure/7/modify-FunctionType.java-931--43e9afd66aae1165.json,succ,23,0,0
PlausibleRecoder/patches-out/Closure/104/modify-JSType.java-570-800eef9be7acd1d.json,succ,26,0,0
PlausibleRecoder/patches-out/Closure/118/prepend-DisambiguateProperties.java-500-3eb2d1088a9680ac.json,succ,3,0,0
PlausibleRecoder/patches-out/Lang/55/prepend-StopWatch.java-179--2594588a14e81dbd.json,succ,44,0,0
PlausibleRecoder/patches-out/Lang/33/modify-ClassUtils.java-903-4767b5889c11a7a3.json,succ,68,0,0
PlausibleRecoder/patches-out/Lang/26/modify-FastDateFormat.java-1171--5f805231ae9d0d60.json,succ,32,0,0
PlausibleRecoder/patches-out/Time/4/modify-Partial.java-447--40fc563d31b26214.json,succ,28,0,0
PlausibleRecoder/patches-out/Closure/21/modify-CheckSideEffects.java-177--74e2ffc9cad8cedf.json,succ,20,0,0
PlausibleRecoder/patches-out/Closure/62/prepend-JSError.java-200--59fd21bb6a51ed02.json,succ,7,0,0
PlausibleRecoder/patches-out/Math/65/modify-AbstractLeastSquaresOptimizer.java-255-7ce34e040a950dc8.json,succ,10,0,0
PlausibleRecoder/patches-out/Closure/7/prepend-ChainableReverseAbstractInterpreter.java-612--5f97a6c4f704451b.json,succ,8,0,0
PlausibleRecoder/patches-out/Lang/26/prepend-FastDateFormat.java-1171--5f805231ae9d0d60.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/109/modify-JsDocInfoParser.java-83--3c244865a90bb0a7.json,succ,33,0,0
PlausibleRecoder/patches-out/Time/7/modify-IllegalFieldValueException.java-53-1548e18b72b54a92.json,succ,30,0,0
PlausibleRecoder/patches-out/Lang/59/modify-StrTokenizer.java-303-138ee55d5949fcfa.json,succ,17,0,0
PlausibleRecoder/patches-out/Math/98/prepend-BigMatrixImpl.java-993--7d152505d03de482.json,succ,25,0,0
PlausibleRecoder/patches-out/Math/65/prepend-Array2DRowRealMatrix.java-116-55b7309376762e75.json,succ,14,0,0
PlausibleRecoder/patches-out/Lang/26/modify-FastDateFormat.java-888--5f805231ae9d0d60.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/118/prepend-JSTypeRegistry.java-1419--a002499a9c0ca5b.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/109/prepend-JsDocInfoParser.java-2399--3c244865a90bb0a7.json,succ,3,0,0
PlausibleRecoder/patches-out/Closure/57/modify-CompilerOptions.java-1008-74b642da4e701197.json,succ,29,0,0
PlausibleRecoder/patches-out/Closure/14/modify-NodeUtil.java-2760-2730dc1cee90a2f4.json,succ,36,0,0
PlausibleRecoder/patches-out/Chart/3/prepend-Series.java-244--731ab743dc0430a2.json,succ,12,0,0
PlausibleRecoder/patches-out/Closure/92/prepend-JSModuleGraph.java-168--57211801f1cf3705.json,succ,10,0,0
PlausibleRecoder/patches-out/Closure/33/prepend-JSDocInfoBuilder.java-686--6bb3c59118870dcd.json,succ,10,0,0
PlausibleRecoder/patches-out/Math/98/modify-BigMatrixImpl.java-956--7d152505d03de482.json,succ,108,0,0
PlausibleRecoder/patches-out/Closure/62/prepend-JSError.java-144--59fd21bb6a51ed02.json,succ,13,0,0
PlausibleRecoder/patches-out/Lang/38/prepend-FastDateFormat.java-1098-543fba37af5538b2.json,succ,19,0,0
PlausibleRecoder/patches-out/Lang/55/modify-StopWatch.java-104--2594588a14e81dbd.json,succ,51,0,0
PlausibleRecoder/patches-out/Lang/38/prepend-FastDateFormat.java-1355-543fba37af5538b2.json,succ,14,0,0
PlausibleRecoder/patches-out/Closure/57/modify-DiagnosticGroup.java-73-30ab9fa607158d36.json,succ,31,0,0
PlausibleRecoder/patches-out/Math/57/prepend-KMeansPlusPlusClusterer.java-134--5575a030b8fe7ab4.json,succ,27,0,0
